,search-city,search-key,company,phno,actual-address,actual-tags
46,Mumbai,textile-manufacturer,"Mandhana Industries Ltd (Corporate Office) in Parel, Mumbai",+(91)-22-43539126,"Unit No 8 and 205-214, Peninsula Centre, Dr S S Rao Road, Parel, Mumbai - 400012, Off Dr Ambedkar Road, Behind Income Tax Office, Near Gandhi Hospital","Corporate Companies, Readymade Garment Manufacturers, .."
47,Mumbai,textile-manufacturer,"D Decor Exports in Boisar, Mumbai",+(91)-02525-306630,"Plot No G-71, Boisar, Palghar - 401501, Near MIDC Tarapur,Near Krishna Petrol Pump","Textile Manufacturers, Textile Fabric Manufacturers, .."
48,Mumbai,textile-manufacturer,"Clariant Chemicals INDIA Ltd (Registered Office) in Airoli, Mumbai",+(91)-22-71251000,"8th & 9th Floor, B Wing, Reliable Tech Park, Thane Belapur Road, Airoli, Navi Mumbai - 400708, Behind Reliable Plaza","Transporters, Chemical Dealers, .."
49,Mumbai,textile-manufacturer,"Birla Century Textiles & Industries Limited in Worli Sea Face, Mumbai",+(91)-022-24957000,"Century Bhavan, Dr Annie Beasant Road, Worli Sea Face, Mumbai - 400030, Near Thaper House","Corporate Companies, Cotton Yarn Manufacturers, .."
50,Mumbai,textile-manufacturer,"Rajesh Garments in Mazgaon, Mumbai",+(91)-22-23772657,"Shop No. 15, Near Mazgaon Circle, GST Bhavan, Mazgaon, Mumbai - 400010","Fabric Manufacturers, Uniform Manufacturers, .."
51,Mumbai,textile-manufacturer,"Neel Kamal in Andheri East, Mumbai",+(91)-022-28203937,"Shop No 7/8, 24/25, M V Road, Kurla Road, Andheri East, Mumbai - 400069, Opposite Andheri Police Station","Readymade Garment Retailers, Children Readymade Garment Retailers, .."
52,Mumbai,textile-manufacturer,"Mafatlal Industries Ltd  (Corporate Office) in Churchgate, Mumbai",+(91)-22-66173636,"4th Floor, Mafatlal House, H T Parekh Marg, Churchgate, Mumbai - 400020, Backbay Recklamation","Corporate Companies, Fabric Manufacturers, .."
53,Mumbai,textile-manufacturer,"AYM Syntex Ltd in , Mumbai",+(91)-2525-252662,"Plot No. 1, 40-45, 116 to 118, Dewan Industrial Estate, Mahim Village, Palghar - 401404",Textile Manufacturers
54,Mumbai,textile-manufacturer,"Bureau Veritas Consumer Products Services India Pvt Ltd in Andheri East, Mumbai",+(91)-22-61201625,"72 Business Park, Ground Floor, Marol Industrial Area Midc, Cross Road C, Andheri East, Mumbai - 400093, Midc","Fabric Manufacturers, Textile Exporters, .."
55,Mumbai,textile-manufacturer,"The Bombay Dyeing & Manufacturing Co Ltd in Prabhadevi, Mumbai",+(91)-022-66193313,"Pandinang Budhkar Marg, Worli, Prabhadevi, Mumbai - 400025",Textile Manufacturers
56,Mumbai,textile-manufacturer,"Welspun India Limited in Lower Parel, Mumbai",+(91)-022-66136000,"Welspun House, 7th Floor Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai - 400013","Textile Manufacturers, Textile Retailers, .."
57,Mumbai,textile-manufacturer,"Tata Mills NTC Ltd in Dadar East, Mumbai",+(91)-22-24146978,"Dadasaheb Phalke Road, Dadar East, Mumbai - 400014, Next To Gold Mohur Mills, Opposite Hindmata Theatre",Textile Manufacturers
58,Mumbai,textile-manufacturer,"Siyaram Silk Mills Ltd in Lower Parel, Mumbai",+(91)-22-30430300,"Shivshakti Ind Est, 1st Floor, JR Boricha Marg, Lower Parel, Mumbai - 400013, Opposite Kasturba Hospital",Textile Manufacturers
59,Mumbai,textile-manufacturer,"Batliboi Ltd (Registered & Corporate Office) in Fort, Mumbai",+(91)-022-66378200,"5th Floor, Bharat House, 104 Bombay Samachar Marg, Fort, Mumbai - 400001","Custom Clearing Agents, Textile Manufacturers, .."
60,Mumbai,textile-manufacturer,"Texport Syndicate India Ltd (corporate Office) in Andheri East, Mumbai",+(91)-22-28368740,"Plot No 6,11/12 Wicel, Central Road, Andheri East, Mumbai - 400093, Opposite Seepz Gate No 01 MIDC","Textile Manufacturers, Textile Exporters"
61,Mumbai,textile-manufacturer,"Visen Industries Ltd in Andheri West, Mumbai",+(91)-22-66443333,"501, Stanford, Plot No 554, Junction Of Juhu Lane, Andheri West, Mumbai - 400058, Near Shopper Stop, Above Mahindra Showroom","Chemical Manufacturers, Paint Manufacturers, .."
62,Mumbai,textile-manufacturer,"Textrade International Ltd in Andheri East, Mumbai",+(91)-22-28514431,"10/11, 89 Andheri Kurla Road, Andheri East, Mumbai - 400072, Behind MacDonald,Shivai Industrial Estate","Curtain Dealers, Sofa Cover Dealers, .."
63,Mumbai,textile-manufacturer,"Morarjee Textiles Ltd in Lower Parel, Mumbai",+(91)-22-66154653,"Morarjee Textiles Ltd,Peninsula Spenta,Mathurdas Millscompund, Senapati Bapat Marg, Lower Parel, Mumbai - 400013, Near Mathuradas Mills Compound","Readymade Garment Wholesalers, Readymade Garment Manufacturers, .."
64,Mumbai,textile-manufacturer,"Rainbow in , Mumbai",+(91)-22-24181111,"7, Swapnapurti Bldg, Jerbai Wadia Road, Panel T.t, Mumbai - 400012","Readymade Garment Retailers, Textile Manufacturers, .."
65,Mumbai,textile-manufacturer,"Banswara Syntex Ltd in Kalbadevi, Mumbai",+(91)-22-22064486,"199 5th Floor, Gopal Bhavan, Princess Street, Kalbadevi, Mumbai - 400002","Readymade Garment Manufacturers, Textile Manufacturers, .."
66,Mumbai,textile-manufacturer,"Mahendra & Mahendra in Kalbadevi, Mumbai",+(91)-22-22402242,"16, 2nd Flr, Vandrawala Bldg, Dadisheth Agiary Lane, Kalbadevi, Mumbai - 400002",Textile Manufacturers
67,Mumbai,textile-manufacturer,"Gherzi Consulting Engineers Pvt Ltd in Santacruz East, Mumbai",+(91)-22-26656546,"301, Kumar Plaza, Kalina Kurla Road, Santacruz East, Mumbai - 400029, Kalina",Textile Manufacturers
68,Mumbai,textile-manufacturer,"Roopam Cloth Store in Andheri West, Mumbai",+(91)-22-26289419,"Shop No 221 Roopam Bld, S V Road, Andheri West, Mumbai - 400058, Opp Post Office","Tailors, Textile Manufacturers, .."
69,Mumbai,textile-manufacturer,"Svg Fashions Ltd in Andheri West, Mumbai",+(91)-22-42509700,"A 13, Agarwal Golden Chambers, 2/3 Floor, Veera Desai Road, Andheri West, Mumbai - 400053, Near Fun Republic Cinema, Off New Link Road","Fabric Manufacturers, Furnishing Manufacturers, .."
70,Mumbai,textile-manufacturer,"Mahajan Silk Mills PVT LTD in Vikhroli West, Mumbai",+(91)-22-25782319,"Mahajan Mill, Lbs Marg, Vikhroli West, Mumbai - 400079, Nr Union Bank",Textile Manufacturers
71,Mumbai,textile-manufacturer,"Swan Energy Ltd in Ballard Estate, Mumbai",+(91)-22-40587300,"Office No 6, 2nd Floor, Feltham House, 10 J N Heredia Marg, Ballard Estate, Mumbai - 400001","Estate Agents, Cloth Manufacturers, .."
